id,year,country,state_province,district,actors,side_a,side_b,conflict,deaths_a,deaths_b,deaths_civilians,deaths_unknown,deaths_total,latitude,longitude,location_name,headline,date,month,month_name,year_month,violence_type,severity
416558,2021,Nigeria,Plateau state,Bassa lga,Fulani - Irigwe,Fulani,Irigwe,Fulani - Irigwe,0,2,0,0,2,10.02903,8.78904,"two communities of Irigwe Chiefdom, Bassa local government area, Plateau State

along Twin Hill Road, Jebbu Miango, Miango District of Rigwe Chiefdom",Gunmen Kill 30 in Fresh Niger Attack,2021-09-28,9,Sep,2021-09,Non-state conflict,Low (1–5)
416559,2021,Nigeria,Plateau state,Bassa lga,Fulani - Irigwe,Fulani,Irigwe,Fulani - Irigwe,0,2,0,0,2,10.02903,8.78904,"two communities of Irigwe Chiefdom, Bassa local government area, Plateau State

on the farm at Nzhwerenvi, Jebbu Miango",Gunmen Kill 30 in Fresh Niger Attack,2021-09-28,9,Sep,2021-09,Non-state conflict,Low (1–5)
416663,2021,Cameroon,North-West region,Ngo-Ketunjia département,Government of Cameroon - Ambazonia insurgents,Government of Cameroon,Ambazonia insurgents,Cameroon: Ambazonia,3,0,0,0,3,5.915986,10.416393,in Bamali village,Three Cameroonian soldiers killed in restive Anglophone region,2021-09-30,9,Sep,2021-09,State-based conflict,Low (1–5)
420391,2021,Nigeria,Borno state,Gwoza lga,IS - JAS,IS,JAS,IS - JAS,24,0,0,0,24,11.046388,13.751003,"around the Mandara-Gwoza Mountain range

///

at Mandra and Gaba Mountains in Gwoza town, Borno State","ISWAP Insurgents In Boats Attack Boko Haram Camp In Lake Chad;ISWAP Launches Reprisal Attack in Boko Haram Camp, 87 Terrorists Feared Dead",2021-09-30,9,Sep,2021-09,Non-state conflict,High (21–50)
416825,2021,Nigeria,Borno state,Gwoza lga,Government of Nigeria - IS,Government of Nigeria,IS,Nigeria: Islamic State,0,3,0,0,3,11.103593,13.712982,"in the Gwoza-Bulabulin area; west of Gwoza, just 2 km from the city limits",At least 3 ISWAP militants were killed (plus 2 AK rifles and 1 magazine seized),2021-10-01,10,Oct,2021-10,State-based conflict,Low (1–5)
416665,2021,Cameroon,North-West region,Donga-Mantung département,Government of Cameroon - Ambazonia insurgents,Government of Cameroon,Ambazonia insurgents,Cameroon: Ambazonia,1,2,0,0,3,6.316763,11.055782,in Wanti village of Northwest,"Four killed as Cameroon separatists celebrate ""independence"" day;A tense atmosphere reigns in Wanti, a quarter in Wat village in the Donga Mantung Division",2021-10-01,10,Oct,2021-10,State-based conflict,Low (1–5)
420152,2021,Cameroon,North-West region,Donga-Mantung département,Government of Cameroon - Ambazonia insurgents,Government of Cameroon,Ambazonia insurgents,Cameroon: Ambazonia,2,2,0,0,4,6.58251,10.695063,in Nkambe town,Cameroon OCTOBER 2021,2021-10-01,10,Oct,2021-10,State-based conflict,Low (1–5)
419686,2021,Nigeria,Enugu state,Nsukka lga,IPOB - Civilians,IPOB,Civilians,IPOB - Civilians,0,0,0,0,0,6.898992,7.343245,"in Ibagwa-Ani, Nsukka Local Government Area of Enugu State","Enugu - How Gunmen Murdered Bizman, Burnt Secretariat On Oct 1",2021-10-01,10,Oct,2021-10,One-sided (civilians),No deaths recorded
416664,2021,Cameroon,North-West region,Mezam département,Government of Cameroon - Ambazonia insurgents,Government of Cameroon,Ambazonia insurgents,Cameroon: Ambazonia,0,1,0,0,1,5.9597,10.14597,"in Bamenda, chief town of the region","Four killed as Cameroon separatists celebrate ""independence"" day",2021-10-01,10,Oct,2021-10,State-based conflict,Low (1–5)
416922,2021,Cameroon,South-West region,Manyu département,Government of Cameroon - Civilians,Government of Cameroon,Civilians,Government of Cameroon - Civilians,0,0,0,0,0,5.54549,9.58946,"in Tinto, Upper Bayang; Manyu Division, South West Region",Distressing images  The President of Upper Bayang Drivers' Union in Manyu Division;Yet another execution style killing by the #Cameroun military of a civilian,2021-10-02,10,Oct,2021-10,One-sided (civilians),No deaths recorded
